KeyValue	PolygonCode	Date	Rain	AirTemperatureMax	AirTemperatureMin	GlobalSolarRadiation	WindSpeed	ReferenceEvapotranspiration
ClimateId7	12345	31-03-1982	1.6	12.5	7.7	9.9203	4.4	2.3
ClimateId7	12345	01-04-1982	0.0	14.2	2.4	14.2747	3.1	2.0
ClimateId7	12345	02-04-1982	0.0	16.1	3.7	14.8873	3.9	2.4
ClimateId7	12345	03-04-1982	0.0	16.5	4.7	14.6058	4.4	2.5
ClimateId7	12345	04-04-1982	0.0	14.5	6.9	11.6045	4.1	2.9
ClimateId7	12345	05-04-1982	0.0	17.3	2.1	17.0236	3.3	2.7
ClimateId7	12345	06-04-1982	0.0	20.2	6.0	16.6615	2.9	3.1
ClimateId7	12345	07-04-1982	1.1	15.8	9.8	10.404	5.0	2.9
ClimateId7	12345	08-04-1982	0.0	18.2	7.7	14.4639	4.3	3.0
ClimateId7	12345	09-04-1982	0.3	9.5	1.8	12.347	7.6	3.4
ClimateId7	12345	10-04-1982	0.1	10.2	3.8	11.291	5.2	3.0
ClimateId7	12345	11-04-1982	0.2	10.3	2.7	12.5265	5.3	2.6
ClimateId7	12345	12-04-1982	1.2	9.2	0.7	12.7914	4.5	2.3
ClimateId7	12345	13-04-1982	0.0	9.7	0.9	14.0623	2.9	2.3
ClimateId7	12345	14-04-1982	0.0	10.3	2.0	13.4346	5.2	3.1
ClimateId7	12345	15-04-1982	0.0	11.2	2.0	14.4392	3.5	2.9
ClimateId7	12345	16-04-1982	0.0	14.8	1.0	18.094	2.6	2.8
ClimateId7	12345	17-04-1982	0.0	14.3	2.7	16.6624	3.5	2.9
ClimateId7	12345	18-04-1982	0.9	10.9	2.5	14.1247	4.4	2.5
ClimateId7	12345	19-04-1982	0.1	13.6	2.5	14.524	3.8	2.8
ClimateId7	12345	20-04-1982	0.0	11.0	-0.2	16.7298	3.8	2.7
ClimateId7	12345	21-04-1982	0.0	12.5	0.0	16.9407	3.6	3.0
ClimateId7	12345	22-04-1982	0.0	9.7	2.4	13.3812	3.8	2.6
ClimateId7	12345	23-04-1982	0.1	11.5	2.1	15.5703	3.8	2.9
ClimateId7	12345	24-04-1982	0.0	14.7	-0.5	19.2184	2.3	2.9
ClimateId7	12345	25-04-1982	0.0	15.0	4.9	16.3758	5.1	3.9
ClimateId7	12345	26-04-1982	0.0	13.6	6.8	13.5728	6.5	3.6
ClimateId7	12345	27-04-1982	1.5	13.3	3.1	15.1286	7.5	3.3
ClimateId7	12345	28-04-1982	0.0	16.0	4.0	16.3633	6.7	3.9
ClimateId7	12345	29-04-1982	0.4	14.6	5.9	15.4915	4.2	3.1
ClimateId7	12345	30-04-1982	0.0	11.1	4.5	13.637	6.3	3.4
ClimateId7	12345	01-05-1982	2.0	15.4	1.1	15.7979	4.4	3.0
ClimateId7	12345	02-05-1982	1.1	12.6	4.9	14.9596	5.2	3.4
ClimateId7	12345	03-05-1982	0.0	19.1	3.0	22.2845	3.6	3.8
ClimateId7	12345	04-05-1982	0.0	23.1	5.2	23.6459	4.4	4.6
ClimateId7	12345	05-05-1982	0.0	22.9	9.5	20.3426	5.1	5.0
ClimateId7	12345	06-05-1982	0.0	20.9	10.0	18.4832	3.5	3.9
ClimateId7	12345	07-05-1982	0.3	13.6	9.2	12.0292	5.9	3.6
ClimateId7	12345	08-05-1982	1.8	14.6	5.5	16.0562	2.3	2.7
ClimateId7	12345	09-05-1982	1.6	17.5	9.0	16.426	3.5	3.0
ClimateId7	12345	10-05-1982	0.0	16.4	11.3	12.7394	1.9	2.5
ClimateId7	12345	11-05-1982	9.0	16.5	8.0	16.1503	6.5	3.7
ClimateId7	12345	12-05-1982	0.0	17.4	5.6	19.9041	2.5	3.3
ClimateId7	12345	13-05-1982	0.0	19.1	6.8	20.448	2.4	3.7
ClimateId7	12345	14-05-1982	0.0	20.8	8.8	20.2232	3.6	4.3
ClimateId7	12345	15-05-1982	0.0	20.9	7.8	21.2691	2.2	4.0
ClimateId7	12345	16-05-1982	0.0	23.4	7.6	23.6298	1.8	4.0
ClimateId7	12345	17-05-1982	0.0	25.5	10.0	23.5125	2.6	4.6
ClimateId7	12345	18-05-1982	0.0	25.3	12.2	21.6128	2.4	4.4
ClimateId7	12345	19-05-1982	2.3	21.5	13.4	19.055	4.0	4.0
ClimateId7	12345	20-05-1982	0.5	23.8	13.6	19.4187	2.3	4.0
ClimateId7	12345	21-05-1982	1.0	21.2	13.5	18.5935	2.7	3.9
ClimateId7	12345	22-05-1982	0.3	24.4	12.7	20.687	2.5	4.3
ClimateId7	12345	23-05-1982	0.7	19.5	14.1	13.7845	2.0	3.0
ClimateId7	12345	24-05-1982	5.9	15.8	11.9	10.8485	4.4	2.5
ClimateId7	12345	25-05-1982	0.0	19.9	10.4	18.7589	5.0	4.4
ClimateId7	12345	26-05-1982	0.0	23.1	10.1	22.1631	2.5	4.2
ClimateId7	12345	27-05-1982	0.0	25.8	12.8	22.4638	3.8	4.9
ClimateId7	12345	28-05-1982	0.1	27.2	14.8	21.7701	3.1	4.9
ClimateId7	12345	29-05-1982	6.1	17.2	12.6	13.3051	4.5	3.0
ClimateId7	12345	30-05-1982	0.0	21.5	12.1	18.9493	4.1	4.6
ClimateId7	12345	31-05-1982	0.0	23.9	10.2	22.9763	2.2	4.4
ClimateId7	12345	01-06-1982	0.0	26.4	10.4	25.2062	2.5	4.9
ClimateId7	12345	02-06-1982	0.0	27.9	12.8	24.586	2.8	5.3
ClimateId7	12345	03-06-1982	0.0	29.3	15.0	23.9023	2.5	5.4
ClimateId7	12345	04-06-1982	0.0	30.2	15.0	23.5986	2.3	5.3
ClimateId7	12345	05-06-1982	0.0	29.1	16.3	22.6303	2.5	5.3
ClimateId7	12345	06-06-1982	0.0	28.9	15.1	23.8862	1.9	5.2
ClimateId7	12345	07-06-1982	4.3	26.4	17.8	18.2737	3.8	5.1
ClimateId7	12345	08-06-1982	0.0	24.6	12.5	22.1239	2.1	4.5
ClimateId7	12345	09-06-1982	0.2	26.9	13.0	23.8116	1.7	4.7
ClimateId7	12345	10-06-1982	0.5	23.6	15.5	18.0028	2.7	4.3
ClimateId7	12345	11-06-1982	0.0	23.5	11.4	21.0895	3.1	4.6
ClimateId7	12345	12-06-1982	7.4	22.5	17.1	14.3664	4.4	4.0
ClimateId7	12345	13-06-1982	0.6	19.0	13.2	15.0185	4.3	4.0
ClimateId7	12345	14-06-1982	1.3	17.5	11.1	15.8707	6.0	4.3
ClimateId7	12345	15-06-1982	0.1	18.3	9.5	19.4856	5.0	4.6
ClimateId7	12345	16-06-1982	0.8	18.9	10.3	17.8437	2.4	3.7
ClimateId7	12345	17-06-1982	0.4	17.9	11.9	15.3437	3.8	3.9
ClimateId7	12345	18-06-1982	0.0	21.7	7.5	24.3648	2.4	4.1
ClimateId7	12345	19-06-1982	1.9	22.0	14.0	17.943	4.2	4.4
ClimateId7	12345	20-06-1982	0.0	23.4	12.0	21.5746	3.6	4.9
ClimateId7	12345	21-06-1982	0.0	25.0	10.9	24.213	1.8	4.6
ClimateId7	12345	22-06-1982	0.8	26.2	15.8	20.7414	3.0	4.9
ClimateId7	12345	23-06-1982	0.3	24.9	17.1	17.6457	3.0	4.2
ClimateId7	12345	24-06-1982	3.7	25.6	14.9	20.8574	3.6	5.1
ClimateId7	12345	25-06-1982	0.0	26.6	14.2	22.4655	2.8	4.9
ClimateId7	12345	26-06-1982	0.4	25.2	18.3	16.4799	3.2	4.0
ClimateId7	12345	27-06-1982	10.3	19.4	14.2	19.4619	5.0	4.5
ClimateId7	12345	28-06-1982	8.9	21.1	13.7	17.2116	5.4	4.4
ClimateId7	12345	29-06-1982	1.5	23.1	12.8	20.3658	4.0	4.6
ClimateId7	12345	30-06-1982	2.9	20.2	13.6	16.0247	4.7	4.3
ClimateId7	12345	01-07-1982	0.0	21.9	11.4	20.5989	3.4	4.5
ClimateId7	12345	02-07-1982	0.0	24.8	11.9	22.918	1.6	4.4
ClimateId7	12345	03-07-1982	0.0	29.0	13.7	24.9975	2.3	5.2
ClimateId7	12345	04-07-1982	12.1	23.5	15.6	18.3316	3.9	4.7
ClimateId7	12345	05-07-1982	0.0	24.6	12.7	21.529	3.7	5.1
ClimateId7	12345	06-07-1982	0.0	23.9	14.2	19.5114	1.6	4.1
ClimateId7	12345	07-07-1982	0.5	22.0	14.8	16.9105	5.3	4.6
ClimateId7	12345	08-07-1982	0.0	23.4	12.3	20.418	3.5	4.7
ClimateId7	12345	09-07-1982	0.0	25.2	11.8	23.0472	2.0	4.6
ClimateId7	12345	10-07-1982	0.0	26.3	12.8	23.0318	3.2	5.1
ClimateId7	12345	11-07-1982	0.6	25.8	16.1	19.2881	4.5	4.9
ClimateId7	12345	12-07-1982	7.0	24.0	17.4	15.4604	4.1	3.9
ClimateId7	12345	13-07-1982	0.0	25.6	16.3	18.7862	3.0	4.4
ClimateId7	12345	14-07-1982	0.0	27.6	14.4	22.4645	2.1	4.7
ClimateId7	12345	15-07-1982	0.0	27.1	16.2	20.7255	1.6	4.7
ClimateId7	12345	16-07-1982	0.3	27.7	17.9	20.469	1.5	4.8
ClimateId7	12345	17-07-1982	0.4	28.1	16.7	20.6279	2.4	4.6
ClimateId7	12345	18-07-1982	0.3	25.0	18.7	15.6135	3.8	4.0
ClimateId7	12345	19-07-1982	0.2	27.0	17.1	19.0705	3.1	4.5
ClimateId7	12345	20-07-1982	0.0	29.7	17.8	21.2019	2.6	5.0
ClimateId7	12345	21-07-1982	0.1	31.0	18.7	21.2935	1.7	5.0
ClimateId7	12345	22-07-1982	4.6	26.8	17.0	19.9077	1.8	4.7
ClimateId7	12345	23-07-1982	0.8	25.9	18.3	16.4339	2.5	4.0
ClimateId7	12345	24-07-1982	1.4	23.5	18.1	13.5345	1.5	3.1
ClimateId7	12345	25-07-1982	5.8	22.6	17.5	12.7674	3.5	3.3
ClimateId7	12345	26-07-1982	1.1	24.7	16.7	17.472	5.7	4.5
ClimateId7	12345	27-07-1982	0.6	22.1	14.8	14.6218	4.7	3.7
ClimateId7	12345	28-07-1982	2.2	24.0	14.7	17.5677	3.0	3.9
ClimateId7	12345	29-07-1982	0.0	25.8	15.8	18.3552	2.4	4.3
ClimateId7	12345	30-07-1982	0.0	26.9	12.5	22.0543	1.9	4.4
ClimateId7	12345	31-07-1982	0.5	26.1	14.6	19.5958	3.9	4.4
ClimateId7	12345	01-08-1982	14.0	26.4	15.3	19.0616	4.3	4.5
ClimateId7	12345	02-08-1982	0.0	26.3	15.2	18.9685	2.2	4.3
ClimateId7	12345	03-08-1982	0.0	26.0	15.5	18.4196	4.3	4.6
ClimateId7	12345	04-08-1982	2.2	24.2	18.4	13.4819	2.0	3.3
ClimateId7	12345	05-08-1982	15.0	25.1	17.3	15.3013	2.3	3.5
ClimateId7	12345	06-08-1982	0.0	26.0	15.3	18.027	1.9	4.0
ClimateId7	12345	07-08-1982	0.7	26.0	17.2	17.2125	2.0	4.1
ClimateId7	12345	08-08-1982	6.2	25.8	16.7	17.1189	1.5	4.0
ClimateId7	12345	09-08-1982	3.0	26.3	16.6	17.0908	2.4	3.9
ClimateId7	12345	10-08-1982	0.5	25.5	16.7	16.0742	3.6	3.9
ClimateId7	12345	11-08-1982	0.0	25.7	17.1	15.7368	2.4	3.9
ClimateId7	12345	12-08-1982	0.0	27.6	14.7	19.3758	2.6	4.1
ClimateId7	12345	13-08-1982	0.0	31.1	17.2	20.0726	2.3	4.6
ClimateId7	12345	14-08-1982	1.6	26.9	18.2	15.543	3.1	4.2
ClimateId7	12345	15-08-1982	0.0	28.1	15.0	19.1056	2.7	4.1
ClimateId7	12345	16-08-1982	0.2	27.5	16.6	16.1304	4.2	4.1
ClimateId7	12345	17-08-1982	4.6	24.6	16.6	14.3537	3.1	3.3
ClimateId7	12345	18-08-1982	0.1	25.4	15.2	16.3284	3.6	3.9
ClimateId7	12345	19-08-1982	0.0	25.7	13.7	16.944	2.5	3.9
ClimateId7	12345	20-08-1982	0.8	27.4	15.5	17.5133	4.3	4.3
ClimateId7	12345	21-08-1982	5.4	19.9	12.0	14.367	4.4	3.5
ClimateId7	12345	22-08-1982	0.0	21.2	13.5	13.6086	4.6	4.0
ClimateId7	12345	23-08-1982	0.0	23.7	11.4	17.3562	2.4	3.5
ClimateId7	12345	24-08-1982	0.1	23.6	11.8	15.8576	3.1	3.4
ClimateId7	12345	25-08-1982	0.1	22.0	13.9	13.6317	4.2	3.7
ClimateId7	12345	26-08-1982	0.0	25.9	11.2	18.571	2.9	3.5
ClimateId7	12345	27-08-1982	0.0	25.3	15.2	15.1158	2.7	3.3
ClimateId7	12345	28-08-1982	1.8	19.9	14.3	12.7876	2.8	3.0
ClimateId7	12345	29-08-1982	1.0	20.6	14.1	11.5953	4.1	2.9
ClimateId7	12345	30-08-1982	0.5	21.7	14.4	12.2167	2.0	2.7
ClimateId7	12345	31-08-1982	0.0	22.5	10.2	16.1471	1.9	2.7
ClimateId7	12345	01-09-1982	0.1	21.4	13.3	13.1158	4.0	3.0
ClimateId7	12345	02-09-1982	0.0	22.7	13.1	13.8662	3.2	3.1
ClimateId7	12345	03-09-1982	0.0	22.6	12.9	13.3697	2.8	3.0
ClimateId7	12345	04-09-1982	0.0	25.3	9.6	17.7233	2.6	3.0
ClimateId7	12345	05-09-1982	0.0	26.3	12.6	16.3439	2.3	3.0
ClimateId7	12345	06-09-1982	0.0	29.5	16.7	15.673	3.1	3.8
ClimateId7	12345	07-09-1982	0.4	26.1	17.2	12.7564	3.8	3.5
ClimateId7	12345	08-09-1982	0.0	25.4	16.9	12.0085	3.8	3.3
ClimateId7	12345	09-09-1982	0.8	23.0	16.4	10.3256	3.1	2.8
ClimateId7	12345	10-09-1982	0.0	23.2	13.8	12.5626	2.6	2.7
ClimateId7	12345	11-09-1982	0.0	24.7	12.3	14.5595	1.5	2.5
ClimateId7	12345	12-09-1982	0.0	25.7	13.4	14.2942	2.3	3.0
ClimateId7	12345	13-09-1982	0.0	25.7	12.6	14.6552	1.9	2.8
ClimateId7	12345	14-09-1982	0.0	25.9	13.9	13.7417	1.4	2.6
ClimateId7	12345	15-09-1982	0.0	25.9	12.6	14.4142	2.1	2.6
ClimateId7	12345	16-09-1982	0.0	25.6	11.9	14.5237	1.3	2.4
ClimateId7	12345	17-09-1982	0.0	25.4	11.9	14.2195	1.5	2.4
ClimateId7	12345	18-09-1982	0.0	25.7	12.4	13.603	3.2	2.9
ClimateId7	12345	19-09-1982	0.0	25.3	11.7	13.9927	1.8	2.4
ClimateId7	12345	20-09-1982	0.0	24.9	11.7	13.5468	2.0	2.3
ClimateId7	12345	21-09-1982	0.0	23.7	12.0	11.0166	1.7	2.2
ClimateId7	12345	22-09-1982	0.1	21.7	14.3	11.0654	1.9	2.2
ClimateId7	12345	23-09-1982	5.5	19.3	14.9	9.0133	2.6	2.0
ClimateId7	12345	24-09-1982	5.1	18.7	10.7	9.5419	3.2	2.1
ClimateId7	12345	25-09-1982	0.0	17.4	10.7	8.6997	3.3	1.5
ClimateId7	12345	26-09-1982	0.0	23.5	15.2	9.6794	5.6	2.8
ClimateId7	12345	27-09-1982	0.0	19.3	15.6	5.7783	3.4	2.1
ClimateId7	12345	28-09-1982	0.0	19.4	13.1	7.8049	1.7	1.6
ClimateId7	12345	29-09-1982	0.0	21.0	10.2	10.7657	1.7	1.8
ClimateId7	12345	30-09-1982	0.0	20.8	8.3	11.4535	3.0	1.7
ClimateId7	12345	01-10-1982	1.4	16.6	14.2	4.1793	1.4	1.1
ClimateId7	12345	02-10-1982	45.4	19.0	13.8	6.6555	2.1	1.6
ClimateId7	12345	03-10-1982	0.0	16.7	8.3	8.8743	2.4	1.7
ClimateId7	12345	04-10-1982	0.0	12.7	6.1	7.404	2.5	1.0
ClimateId7	12345	05-10-1982	1.8	12.7	10.2	4.1263	5.3	1.3
ClimateId7	12345	06-10-1982	4.5	14.9	10.1	6.099	6.6	1.9
ClimateId7	12345	07-10-1982	6.4	17.8	10.1	7.8672	6.1	2.4
ClimateId7	12345	08-10-1982	2.3	12.6	7.0	6.4946	2.3	1.1
ClimateId7	12345	09-10-1982	1.2	10.4	4.8	6.3159	1.0	0.7
ClimateId7	12345	10-10-1982	0.5	15.7	7.1	8.0078	1.4	1.1
ClimateId7	12345	11-10-1982	0.1	15.5	6.8	7.915	1.7	1.1
ClimateId7	12345	12-10-1982	0.5	13.3	8.0	5.8089	2.4	1.1
ClimateId7	12345	13-10-1982	0.0	14.5	5.8	7.734	3.5	1.1
ClimateId7	12345	14-10-1982	4.9	12.3	8.8	5.0047	2.4	1.2
ClimateId7	12345	15-10-1982	0.3	14.7	9.0	5.8139	4.6	1.7
ClimateId7	12345	16-10-1982	0.0	13.1	6.8	6.0761	4.8	1.8
ClimateId7	12345	17-10-1982	0.0	11.1	2.1	7.2792	1.2	0.6
ClimateId7	12345	18-10-1982	0.0	13.5	4.9	6.984	1.7	0.8
ClimateId7	12345	19-10-1982	0.0	18.9	5.9	8.4637	1.2	1.0
ClimateId7	12345	20-10-1982	0.4	17.1	7.3	6.1284	1.7	1.1
ClimateId7	12345	21-10-1982	0.1	11.7	5.9	5.2451	2.2	0.6
ClimateId7	12345	22-10-1982	0.2	17.0	9.6	6.0394	5.6	1.6
ClimateId7	12345	23-10-1982	0.0	14.6	10.8	5.3246	5.3	1.3
ClimateId7	12345	24-10-1982	0.0	18.4	10.9	5.832	2.8	1.2
ClimateId7	12345	25-10-1982	1.4	12.8	5.8	5.0863	2.9	1.0
ClimateId7	12345	26-10-1982	0.0	13.1	9.4	3.546	2.6	1.1
ClimateId7	12345	27-10-1982	0.0	12.6	3.7	6.0757	0.9	0.5
ClimateId7	12345	28-10-1982	0.0	9.8	3.8	4.8186	1.4	0.4
ClimateId7	12345	29-10-1982	0.0	11.0	6.8	3.656	2.7	0.6
ClimateId7	12345	30-10-1982	0.0	12.6	6.4	4.6136	4.5	1.2
ClimateId7	12345	31-10-1982	0.0	8.6	4.3	3.4903	2.5	0.6
ClimateId7	12345	01-11-1982	0.0	9.2	5.1	3.2662	1.2	0.6
ClimateId7	12345	02-11-1982	0.1	5.7	4.1	1.5043	1.9	0.6
ClimateId7	12345	03-11-1982	0.0	5.4	4.2	1.9861	1.6	0.7
ClimateId7	12345	04-11-1982	0.0	7.0	3.6	2.9396	0.7	0.5
ClimateId7	12345	05-11-1982	0.6	8.7	4.6	3.1452	2.7	1.1
ClimateId7	12345	06-11-1982	0.0	5.0	-3.2	4.7267	3.2	0.8
ClimateId7	12345	07-11-1982	0.0	3.8	-3.6	4.4258	7.6	1.3
ClimateId7	12345	08-11-1982	0.0	6.6	-1.5	4.6188	8.1	1.3
ClimateId7	12345	09-11-1982	0.0	13.0	4.4	4.688	3.3	0.9
ClimateId7	12345	10-11-1982	0.2	10.7	6.0	3.0288	1.3	0.7
ClimateId7	12345	11-11-1982	0.0	12.2	6.6	3.3889	0.7	0.6
ClimateId7	12345	12-11-1982	0.0	11.6	2.5	3.6934	3.4	0.9
ClimateId7	12345	13-11-1982	0.7	8.5	4.2	2.6802	3.0	0.7
ClimateId7	12345	14-11-1982	5.5	7.3	5.8	1.945	3.8	0.9
ClimateId7	12345	15-11-1982	0.0	7.5	0.9	3.5392	2.0	0.4
ClimateId7	12345	16-11-1982	0.0	4.4	1.3	2.4021	1.4	0.6
ClimateId7	12345	17-11-1982	1.0	4.7	-1.4	3.2437	4.4	0.5
ClimateId7	12345	18-11-1982	0.0	9.5	0.6	4.0826	4.7	0.8
ClimateId7	12345	19-11-1982	0.1	12.5	6.7	3.2263	3.3	1.1
ClimateId7	12345	20-11-1982	0.0	8.7	5.6	2.8003	4.8	0.9
ClimateId7	12345	21-11-1982	0.0	9.7	2.1	3.396	3.0	0.8
ClimateId7	12345	22-11-1982	0.0	3.8	1.8	1.2815	2.4	0.7
ClimateId7	12345	23-11-1982	0.1	3.6	1.2	1.3425	2.0	0.4
ClimateId7	12345	24-11-1982	0.1	5.6	2.2	1.6821	3.0	0.4
